species,Longitude,Latitude
Leptasthenura xenothorax,-72.893751,-13.247186
Leptasthenura xenothorax,-72.377499,-13.080975
Leptasthenura xenothorax,-72.403056,-13.345556
Leptasthenura xenothorax,-72.188333,-13.281667
Leptasthenura xenothorax,-72.301578,-13.142868
Leptasthenura xenothorax,-72.70503,-13.704699
Leptasthenura xenothorax,-73.118,-13.353
Leptasthenura xenothorax,-73.12,-13.351
Leptasthenura xenothorax,-72.349067,-13.115067
Leptasthenura xenothorax,-73.001281,-14.060744
Leptasthenura xenothorax,-72.522495,-13.157667
Leptasthenura xenothorax,-72.398593,-13.068846
Leptasthenura xenothorax,-72.16,-13.199333
Leptasthenura xenothorax,-72.795033,-13.67755
Leptasthenura xenothorax,-72.166872,-13.181188
Leptasthenura xenothorax,-72.083333,-13.203333
Leptasthenura xenothorax,-72.291879,-13.191043
